src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.42.0.214,74.125.2.137,39833,443,17,2025-09-09 15:16:10,107.017348,43416.11978648546,38.67597242271412,5.045910874188361,33.63006154852576,540,3599,156743,4489535,1292,76,290.2648148148148,432.51261409882056,1292,66,1247.4395665462628,220.74237737115592,1292,66,1122.560521865185,413.1733204128261,170712.19270095986,10800,71980,20,540,0.025862091590140166,7.224564,-2e-06,0.3326366533105469,107.00973,7.234667,0.0,0.1985338218923933,0.9043535019537364,107.007691,7.235711,0.0,0.029740881322957196,0.35749352196109424,0,0,0,0,0,0,0,0,0,0,0,6.6648148148148145,1122.560521865185,0,0,0,0,0,0,0,0,0,0,3356.0,4.4,12158.048295454546,9.832386363636363,7310.935207163496561507708288,11724283.12736457702665311501,290.2648148148148,1247.4395665462628,0,540,3599,156743,4489535
10.42.0.214,34.92.0.27,46274,443,6,2025-09-09 15:16:11,94.351339,63.380128606335944,0.45574339967766647,0.2437697254089844,0.21197367426868208,23,20,4088,1892,742,66,177.7391304347826,195.96544003012463,162,66,94.6,31.38216053747734,742,66,139.06976744186048,150.72667320758123,22718.530016224988,460,400,20,14,2.246460452380952,45.134273,0.0,7.640510006493225,94.043201,45.441956,0.0,4.274690954545455,10.278813614709822,93.96870200000001,45.519893,0.0,4.945721157894737,10.92374242158347,14,10,0,0,0,0,0,24,43,0,0,0.8695652173913043,139.06976744186048,636,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.7391304347826,94.6,0,23,20,4088,1892
10.42.0.214,54.207.105.126,42018,51820,17,2025-09-09 15:16:12,102.810639,50.267171279812786,0.46687775182488656,0.24316549574212842,0.22371225608275813,25,23,2702,2466,190,74,108.08,17.857032228228743,134,106,107.21739130434783,5.7100713597850445,190,74,107.66666666666667,13.486618882762608,181.8888888888889,500,460,20,25,2.1874604042553183,5.015365,0.0,2.418085355388209,102.795513,5.030215,0.0,4.283146375,1.6154286921121694,102.795762,5.030689,0.014595,4.672534636363636,1.0174273975460024,0,0,0,0,0,0,0,0,0,0,0,0.92,107.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.08,107.21739130434783,0,25,23,2702,2466
10.42.0.214,31.97.64.177,53495,51820,17,2025-09-09 15:16:14,100.349325,8.39068922486524,0.08968670192848831,0.07972151282532294,0.009965189103165368,8,1,708,134,190,74,88.5,38.363394010436565,134,134,134.0,0.0,190,74,93.55555555555556,38.893333079394104,1512.6913580246915,160,20,20,8,12.543665625,25.088026,0.0,12.539584505501576,100.349325,25.088026,0.0,14.335617857142855,12.410296783095507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,93.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.5,134.0,0,8,1,708,134
35.236.71.176,10.42.0.214,443,41874,6,2025-09-09 15:16:17,116.399563,19.381516062908243,0.17182195091230712,0.09450207300176891,0.07731987791053821,11,9,886,1370,138,66,80.54545454545455,24.747318078250736,682,66,152.22222222222223,189.03602112811893,682,66,112.8,132.99984962397514,17688.96,220,180,20,3,6.126292789473685,45.174311,0.0,14.086132885458378,116.399563,45.431591,0.0,11.639956299999998,17.822360311197723,116.218559,45.383448,2.7e-05,14.527319875,18.855188439562134,3,4,0,0,0,0,0,7,20,0,0,0.8181818181818182,112.8,496,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.54545454545455,152.22222222222223,0,11,9,886,1370
10.42.0.214,142.250.78.174,59824,443,17,2025-09-09 15:16:30,93.171365,269.6429316024296,0.804968350522717,0.4078506309315099,0.39711771959120706,38,37,20508,4615,1292,75,539.6842105263158,540.2276374612911,600,64,124.72972972972973,144.26545514632255,1292,64,334.97333333333336,448.52564321588375,201175.25262222224,760,740,20,38,1.2590724999999998,22.888939,0.0,4.153322134924222,93.160126,22.903298,0.0,2.517841243243243,5.602400262120444,93.158458,22.903641,0.000251,2.587734944444444,5.664339002404315,0,0,0,0,0,0,0,0,0,0,0,0.9736842105263158,334.97333333333336,0,0,0,0,0,0,0,0,0,0,5228.0,5.0,0,0,28183288.40970350404312668464,0,539.6842105263158,124.72972972972973,0,38,37,20508,4615
10.42.0.214,64.233.186.188,48772,5228,6,2025-09-09 15:16:51,94.227503,9.774216345306318,0.0955135147749803,0.05306306376387794,0.042450451011102355,5,4,330,591,66,66,66.0,0.0,393,66,147.75,141.59515351875572,393,66,102.33333333333333,102.76618553244491,10560.888888888889,100,80,20,0,11.778437875000002,45.975824,0.0,19.488304550989593,94.154445,45.975824,0.0,23.538611250000002,22.016707146818703,94.154473,46.04914,3.031576,31.38482433333333,20.05272818160369,0,1,0,0,0,0,0,1,9,0,0,0.8,102.33333333333333,671,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,147.75,0,5,4,330,591
10.42.0.214,34.66.112.243,38810,443,6,2025-09-09 15:17:03,123.05549,84.25467242461104,0.268171700425556,0.14627547295939416,0.1218962274661618,18,15,4059,6309,2088,66,225.5,460.13950179387024,1466,66,420.6,540.9238763449068,2088,66,314.1818181818182,507.86310816904046,257924.93663911847,360,300,20,7,3.8454840624999997,46.965732,0.0,11.892677115134095,123.05548999999999,47.103339,0.0,7.238558235294119,15.615987522859756,75.95136600000001,45.385128,0.0,5.425097571428572,13.076665590870965,7,7,0,0,0,3,0,14,31,0,0,0.8333333333333334,314.1818181818182,64240,64768,0,0,0,0,0,0,0,0,753.0,4.0,4418.0,4.0,2907335.907335907335907335907,8943319.838056680161943319838,225.5,420.6,0,18,15,4059,6309
10.42.0.214,74.125.2.137,39833,443,17,2025-09-09 15:18:01,91.117172,43737.92461425383,38.993747523244025,5.092344174158522,33.901403349085506,464,3089,140211,3845065,1292,76,302.1788793103448,441.88649305401003,1292,64,1244.7604402719326,226.91594581147464,1292,64,1121.6650717703349,413.69270029497136,171141.650277345,9280,61780,20,464,0.025652356418918918,7.969846,-1e-06,0.3199561025181861,91.106347,7.980915,0.0,0.1967739676025918,0.8689124969580291,91.107636,7.979276,0.0,0.029503768134715027,0.34421015076315953,0,0,0,0,0,0,0,0,0,0,0,6.657327586206897,1121.6650717703349,0,0,0,0,0,0,0,0,0,0,2975.25,4.25,12118.72607260726,9.821782178217822,8550.490354564069404030606746,11680421.15977987721474695423,302.1788793103448,1244.7604402719326,0,464,3089,140211,3845065
10.42.0.214,54.207.105.126,42018,51820,17,2025-09-09 15:18:00,113.059805,49.46054877770221,0.4599335723248417,0.2388116625532832,0.22112190977155852,27,25,2914,2678,190,74,107.92592592592592,17.191569695263595,134,106,107.12,5.486857023834319,190,74,107.53846153846153,12.965133032723307,168.09467455621305,540,500,20,27,2.216858921568627,4.970229,0.0,2.4300083294636705,113.059805,4.984775,0.0,4.348454038461538,1.5689112307555708,113.044202,5.022257,0.001232,4.710175083333334,0.9829282971669363,0,0,0,0,0,0,0,0,0,0,0,0.9259259259259259,107.53846153846153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.92592592592592,107.12,0,27,25,2914,2678
