protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_bwd_pkts,totlen_fwd_pkts,fwd_pkt_len_mean,bwd_pkt_len_mean,pkt_size_avg,fwd_pkts_s,bwd_pkts_s,flow_byts_s,ProtocolName
6,94.351339,23,20,1892,4088,177.7391304347826,94.6,139.06976744186048,0.2437697254089844,0.211973674268682,63.38012860633594,GOOGLECLOUD
6,116.399563,11,9,1370,886,80.54545454545455,152.22222222222223,112.8,0.0945020730017689,0.0773198779105382,19.381516062908243,GOOGLECLOUD
6,123.05549,18,15,6309,4059,225.5,420.6,314.1818181818182,0.1462754729593941,0.1218962274661618,84.25467242461104,GOOGLECLOUD
6,116.27085,13,10,1607,3664,281.84615384615387,160.7,229.17391304347825,0.1118079037007126,0.0860060797697789,45.33380464665047,GOOGLECLOUD
6,92.812214,4,3,198,264,66.0,66.0,66.0,0.0430977759026414,0.032323331926981,4.977793116755086,GOOGLECLOUD
17,0.062486,4,0,0,5168,1292.0,0.0,1292.0,64.01433921198348,0.0,82706.52626188267,GOOGLECLOUD
6,0.004954,2,1,60,132,66.0,60.0,64.0,403.7141703673799,201.85708518368995,38756.56035526847,GOOGLECLOUD
6,0.514583,9,8,1778,2714,301.55555555555554,222.25,264.2352941176471,17.489889871993437,15.546568775105278,8729.398367221615,GOOGLECLOUD
6,100.936231,12,13,1132,2455,204.58333333333331,87.07692307692308,143.48,0.1188869435792584,0.12879418887753,35.53728888490001,GOOGLECLOUD
6,0.011937,5,2,132,432,86.4,66.0,80.57142857142857,418.8657116528441,167.54628466113763,47248.052274440815,GOOGLECLOUD
6,124.932316,19,19,1734,3357,176.68421052631578,91.26315789473684,133.97368421052633,0.1520823483333167,0.1520823483333167,40.75006501920608,GOOGLECLOUD
6,130.119892,4,4,264,264,66.0,66.0,66.0,0.0307408801107827,0.0307408801107827,4.057796174623324,GOOGLECLOUD
6,103.584099,5,3,198,330,66.0,66.0,66.0,0.0482699569554589,0.0289619741732753,5.097307454496467,GOOGLECLOUD
6,94.51813,4,3,198,264,66.0,66.0,66.0,0.0423199231724114,0.0317399423793086,4.887951126413525,GOOGLECLOUD
6,139.352345,6,4,264,396,66.0,66.0,66.0,0.0430563260345565,0.028704217356371,4.736195863801215,GOOGLECLOUD
6,117.229026,13,10,1607,3664,281.84615384615387,160.7,229.17391304347825,0.1108940374545123,0.0853031057342402,44.96326703251804,GOOGLECLOUD
17,0.28063,12,14,10080,10019,834.9166666666666,720.0,773.0384615384615,42.76093076292627,49.88775255674732,71620.9956170046,GOOGLECLOUD
6,0.00599,2,1,60,132,66.0,60.0,64.0,333.889816360601,166.9449081803005,32053.422370617696,GOOGLECLOUD
6,0.542502,9,8,1778,2714,301.55555555555554,222.25,264.2352941176471,16.5898005905969,14.74648941386391,8280.153805884585,GOOGLECLOUD
6,105.564109,5,4,264,330,66.0,66.0,66.0,0.0473645829758294,0.0378916663806635,5.626912457528533,GOOGLECLOUD
6,0.009383,5,3,198,432,86.4,66.0,78.75,532.8786102525844,319.72716615155065,67142.70489182563,GOOGLECLOUD
6,94.468817,5,4,264,330,66.0,66.0,66.0,0.0529275178707911,0.0423420142966329,6.28778912304999,GOOGLECLOUD
6,94.554272,4,3,198,264,66.0,66.0,66.0,0.0423037469951648,0.0317278102463736,4.8860827779415406,GOOGLECLOUD
6,94.516689,4,3,198,264,66.0,66.0,66.0,0.0423205683813151,0.0317404262859863,4.888025648041903,GOOGLECLOUD
6,139.413308,6,4,264,396,66.0,66.0,66.0,0.0430374982566226,0.0286916655044151,4.734124808228494,GOOGLECLOUD
6,118.687327,14,12,1751,3822,273.0,145.91666666666666,214.34615384615384,0.1179569913138241,0.1011059925547063,46.95530804228155,GOOGLECLOUD
6,117.864008,13,10,1035,1770,136.15384615384616,103.5,121.95652173913044,0.1102966055591797,0.0848435427378305,23.798613737961464,GOOGLECLOUD
6,0.005305,2,1,60,132,66.0,60.0,64.0,377.0028275212064,188.5014137606032,36192.27144203582,GOOGLECLOUD
6,0.479546,9,8,1778,2714,301.55555555555554,222.25,264.2352941176471,18.767751164643222,16.68244547968287,9367.19313684193,GOOGLECLOUD
6,94.205952,5,3,198,330,66.0,66.0,66.0,0.0530752027217983,0.0318451216330789,5.6047414074219,GOOGLECLOUD
6,94.621085,4,3,198,264,66.0,66.0,66.0,0.0422738758491302,0.0317054068868476,4.882632660574544,GOOGLECLOUD
6,0.034759,5,2,132,432,86.4,66.0,80.57142857142857,143.84763658333094,57.53905463333238,16226.01340659973,GOOGLECLOUD
6,0.010617,5,3,198,453,90.6,66.0,81.375,470.9428275407366,282.56569652444193,61316.7561458039,GOOGLECLOUD
6,0.144178,2,1,66,132,66.0,66.0,66.0,13.871741874627196,6.935870937313599,1373.3024455880925,GOOGLECLOUD
